problem,target,framework,model,activation,num_runs,num_train_sizes,num_seeds,min_m,max_m,best_relative_error,mean_relative_error,std_relative_error,mean_final_train_loss,mean_training_time_sec,total_training_time_sec
nsb_log_d4,p,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.0196411069482564,0.2974815435618871,0.5046045468681385,4.943295217734496e-06,71.96279905773831,12089.750241700036
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0246219877153635,0.22804076595985814,0.3109178671192829,4.990192031701077e-06,9.441165648215073,1586.1158289001323
nsb_log_d4,p,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.039220668375492,0.2836812545678445,0.254390566313103,5.0149090173233295e-06,13.887120182739594,2333.0361907002516
nsb_log_d4,p,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.0529611073434352,0.255992037687628,0.14449655465609737,4.9886396704139426e-06,20.7244575029756,3481.7088604999008
nsb_log_d4,p,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0597716644406318,0.44750744716397356,0.3314331562513211,4.939754384330237e-06,48.25456737976007,8106.767319799692
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.017822153866291,0.22695470126789236,0.41924040441471366,4.992701265326191e-06,16.863869452975493,2833.130068099883
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.0195084530860185,0.3061315505654506,0.5270912467282586,4.953602610515061e-06,42.204545144642644,7090.363584299965
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0240378621965646,0.2177819717852842,0.30340574036927165,4.991894946843309e-06,14.32820131249961,2407.1378204999346
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.0401591248810291,0.2770739806416843,0.2408002880989968,5.990955988484832e-06,16.024773152975936,2692.161889699957
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0498021431267261,0.43867826603707816,0.3257830556383579,4.928357839162345e-06,30.476338692262203,5120.02490030005
nsb_log_d4,p,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.0612309910356998,0.2579367277434184,0.14058516904521562,4.98894223981205e-06,13.562312002975887,2278.468416499949
nsb_log_d4,u,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.1077144742012023,2.2823027954215096,3.9329740413617578,4.930015858830995e-06,117.36805694940371,19717.833567499823
